Date,Asset,Price,Volume,log_return,volatility_7d,volatility_30d
2023-11-18,ETH,1961.68,279320.0,0.00045889570106204237,55.18774668483889,55.60655094321283
2023-11-19,ETH,2010.99,251190.0,0.024825889165320934,59.72558312055332,55.658142677230984
2023-11-20,ETH,2021.48,421810.0,0.0052027782786832595,59.76850343246297,55.588680300137305
2023-11-21,ETH,1934.61,489920.0,-0.04392416062627276,62.34479356108022,58.11771562182191
2023-11-22,ETH,2063.28,466370.0,0.06439119377202224,74.22671928223305,58.83373054400279
2023-11-23,ETH,2062.1,251110.0,-0.0005720685280779121,62.22253179850901,58.815391715669506
2023-11-24,ETH,2080.83,426940.0,0.009041971556008175,61.89136187474274,58.8185279651383
2023-11-25,ETH,2083.09,138850.0,0.0010855156784577225,61.84353805725622,58.8156951465501
2023-11-26,ETH,2062.33,241260.0,-0.010015956671339116,61.391218994593686,58.69852732557691
2023-11-27,ETH,2027.43,326110.0,-0.017067430453225545,63.11971620126883,59.157358198357294
2023-11-28,ETH,2048.66,283690.0,0.010416939751863839,50.912161527710374,59.1563493614463
2023-11-29,ETH,2028.98,254930.0,-0.009652717163201416,19.676280435943504,59.34313799963075
2023-11-30,ETH,2051.57,243660.0,0.011072149969939993,21.992693123299347,59.396467283972896
2023-12-01,ETH,2087.23,372880.0,0.017232474367611737,24.82036647723084,59.39766827367369
2023-12-02,ETH,2164.81,320980.0,0.036494769727894,36.023476617949676,59.45403807106735
2023-12-03,ETH,2192.83,257850.00000000003,0.012860349263030936,33.746009496488824,59.361428612659026
2023-12-04,ETH,2243.62,565290.0,0.022897685806152816,26.749425873533617,59.61265090143305
2023-12-05,ETH,2293.32,529830.0,0.021909916449476756,26.97533776926011,59.684393837083746
2023-12-06,ETH,2233.4,408460.0,-0.02647546127719851,37.452221972135256,60.77708348638309
2023-12-07,ETH,2355.74,485190.0,0.05332981513355222,46.88291228787449,62.81061386711676
2023-12-08,ETH,2358.41,378590.0,0.0011327600036061707,48.810594797234415,62.81874272387069
2023-12-09,ETH,2340.51,287810.0,-0.007618808826525739,48.73412791598131,49.47154756013632
2023-12-10,ETH,2352.22,200040.0,0.004990708736807631,48.89696322906592,48.743810022071855
2023-12-11,ETH,2225.31,640370.0,-0.05546333132103883,66.07066162472583,52.75473585333916
2023-12-12,ETH,2203.47,361620.0,-0.009862841252612938,63.24157981622335,52.88321308754645
2023-12-13,ETH,2260.15,418940.0,0.02539779225976442,63.96866766523076,53.48162182217654
2023-12-14,ETH,2315.31,409520.0,0.024112405097298166,51.978973664952655,51.92064978062901
2023-12-15,ETH,2220.4,333570.0,-0.041856228026536914,58.9647860707961,52.91482896921549
2023-12-16,ETH,2229.03,199290.0,0.00387915342949371,59.66328022898786,49.62927682987204
2023-12-17,ETH,2197.01,224960.0,-0.014469168209891995,58.940134482502785,50.035289666702035
2023-12-18,ETH,2218.81,365000.0,0.009873671076003891,45.45449488019248,50.06411575017383
2023-12-19,ETH,2177.4,383690.0,-0.01883951166453216,47.02427339212454,50.1063300999657
2023-12-20,ETH,2202.17,416840.0,0.011311733398725338,43.015520344954716,50.1907381960368
2023-12-21,ETH,2239.61,453160.0,0.016858505702015424,40.400503090497914,47.46459194263187
2023-12-22,ETH,2324.16,591310.0,0.037056939869982895,36.28454040298578,43.980825871838036
2023-12-23,ETH,2308.58,255620.0,-0.006726066533635851,37.54125639847001,44.1129794272065
2023-12-24,ETH,2263.54,307970.0,-0.019702657417003677,39.34025794440414,44.813944488078796
2023-12-25,ETH,2271.36,286290.0,0.0034488115509132018,39.055247568308765,44.810110137399455
2023-12-26,ETH,2230.72,410360.0,-0.018054367720043166,38.78714792197865,45.18750485892459
2023-12-27,ETH,2378.63,541530.0,0.06420028837668643,58.893742401094215,49.42449547387235
2023-12-28,ETH,2344.38,580500.0,-0.014503717076246562,61.304511608933666,49.863807558275646
2023-12-29,ETH,2299.19,450200.0,-0.019464087622071996,57.66150949059712,50.32942995358236
2023-12-30,ETH,2291.68,210550.0,-0.003271713944846719,57.526417921508724,50.33044055174661
2023-12-31,ETH,2281.87,222180.0,-0.00428989080455275,55.52810709193263,50.16112079061872
2024-01-01,ETH,2352.04,216700.0,0.030287754449622444,59.4471592744154,49.68347335348406
2024-01-02,ETH,2355.24,458040.0,0.0013595964093631703,56.446998553321116,49.5511239183232
2024-01-03,ETH,2209.41,798710.0,-0.06391712154236848,54.28897686178921,54.07354142943003
2024-01-04,ETH,2267.23,448730.0,0.025833310485915577,60.01087455824911,54.29516594135738
2024-01-05,ETH,2268.11,405680.0,0.0003880635238123373,58.75491664715563,53.47253882170981
2024-01-06,ETH,2240.46,194110.0,-0.012265683644296307,59.23550423961,50.10712364365407
2024-01-07,ETH,2221.38,207120.0,-0.008552577547793974,59.36178000137148,50.1527433227112
2024-01-08,ETH,2330.98,539390.0,0.048160155629111814,66.57653689498896,53.05543443463422
2024-01-09,ETH,2344.32,551450.0,0.0057066011600261975,66.75533492845395,53.064727915701646
2024-01-10,ETH,2581.78,1040000.0,0.09648370235878335,74.3482918405578,59.22651583866648
2024-01-11,ETH,2618.02,838730.0,0.013939223350891003,74.49555314353744,59.05878862819024
2024-01-12,ETH,2524.03,887370.0,-0.03656147637419785,84.66359148881169,60.40292576090188
2024-01-13,ETH,2578.39,422130.0,0.021308342633650303,81.42960754968404,60.29136308906777
2024-01-14,ETH,2473.98,306010.0,-0.04133698327413812,91.2845861262798,60.242356306692514
2024-01-15,ETH,2511.91,315380.0,0.015215230075389139,87.09257964553528,60.37847011790467
2024-01-16,ETH,2588.69,381040.0,0.030108536311348078,88.02256402400536,60.66531207068084
2024-01-17,ETH,2531.28,366320.0,-0.022426852595651966,56.669573546070225,61.41172572279097
2024-01-18,ETH,2469.74,452120.0,-0.02461222171289556,56.57050780164734,61.71881908433776
2024-01-19,ETH,2491.76,424190.0,0.008876406159643933,52.115395123935336,61.689335553468005
2024-01-20,ETH,2472.01,136600.0,-0.007957703206374239,48.357404225713516,61.651562912640635
2024-01-21,ETH,2457.06,122590.0,-0.006066071629407435,38.36039765732929,60.503165359855885
2024-01-22,ETH,2313.6,526350.0,-0.06016076028298968,54.30266066349164,64.21391320097966
2024-01-23,ETH,2243.64,700020.0,-0.03070520599926244,42.19228096511776,64.75279367626557
2024-01-24,ETH,2234.61,359970.0,-0.004032830788119801,43.72706222986007,64.75094631882756
2024-01-25,ETH,2217.66,330450.0,-0.007614130270437366,43.84066448006728,64.497500350024
2024-01-26,ETH,2267.57,363550.0,0.022256187609473913,49.093925531816126,60.7787910865969
2024-01-27,ETH,2267.92,145140.0,0.0001543383408163509,49.98917196813624,60.60171593416869
2024-01-28,ETH,2256.91,209330.0,-0.004866490775962275,50.08772583823624,60.25805473651118
2024-01-29,ETH,2317.81,305410.0,0.026626153246132867,36.951974004646,60.99034393858058
2024-01-30,ETH,2343.1,372970.0,0.010852064594300213,26.463764668869487,61.07311876010017
2024-01-31,ETH,2283.14,397130.0,-0.025923150450909014,34.96614663130878,60.813486847674156
2024-02-01,ETH,2304.28,310980.0,0.009216574739179674,33.93478751115351,60.913381124098684
2024-02-02,ETH,2309.31,238250.0,0.0021805153873616953,30.85130068688734,56.485787982360414
2024-02-03,ETH,2296.5,133280.0,-0.00556255383117122,31.398968252107167,55.83957363131261
2024-02-04,ETH,2289.78,171210.0,-0.0029304817015637363,31.17968395949574,55.85186547882886
2024-02-05,ETH,2301.84,236630.0,0.005253060023521098,23.91014044602641,55.68916467932715
2024-02-06,ETH,2372.64,368910.0,0.030294456138953325,32.3862170539127,56.50173449908414
2024-02-07,ETH,2424.66,342800.0,0.021688049129451742,25.0105896882915,54.51069227943546
2024-02-08,ETH,2419.56,338170.0,-0.0021056029182259855,26.148806493387116,54.49955659869248
2024-02-09,ETH,2486.15,492370.0,0.02714962370461097,29.380755692069926,43.46862927659757
2024-02-10,ETH,2500.23,185110.0,0.005647398481956224,26.629330125848448,43.19914515130335
2024-02-11,ETH,2506.63,219970.0,0.002556493884664535,24.98391993188375,41.32110987514406
2024-02-12,ETH,2657.8,449270.0,0.05855949138819133,40.10266658367174,45.58766793356297
2024-02-13,ETH,2640.02,502630.0,-0.006712220028165724,43.39572118985084,43.069677993959644
2024-02-14,ETH,2775.12,461610.0,0.049907496619574214,50.19263279823903,45.99340360926479
2024-02-15,ETH,2822.59,481800.0,0.01696091365196565,47.03849896951196,45.25230833210444
2024-02-16,ETH,2801.8,378100.0,-0.00739283537876803,51.17395111064095,44.49141310734957
2024-02-17,ETH,2785.92,243300.0,-0.005683907838135534,53.32235074779916,43.4704501206493
2024-02-18,ETH,2880.29,367940.0,0.03331282358121282,53.42095966963228,44.63443075228175
2024-02-19,ETH,2944.99,446280.0,0.022214437989092724,42.78868211713532,44.7869276736884
2024-02-20,ETH,3015.58,634880.0,0.023686761642036196,39.01707306739332,44.993698495228166
2024-02-21,ETH,2971.31,595820.0,-0.0147892501444571,35.6659378109555,38.856301818292124
2024-02-22,ETH,2972.55,563650.0,0.0004172372895690851,35.63422233144328,36.35614244459481
2024-02-23,ETH,2922.24,428920.0,-0.017069724820010453,38.63588054162685,37.23514267265763
2024-02-24,ETH,2992.27,243860.0,0.023681851203315958,39.04467096786986,37.08350305453712
2024-02-25,ETH,3112.6,412280.0,0.03942609310627228,41.422511871752086,38.26338968364696
2024-02-26,ETH,3176.05,546750.0,0.020179896545243714,41.11476328769151,38.21560565054096
2024-02-27,ETH,3242.22,625920.0,0.02061999402320934,40.5858167520882,37.89750733906409
2024-02-28,ETH,3383.06,947430.0,0.042522345021580504,40.08497049494905,39.05366964225531
2024-02-29,ETH,3339.21,759820.0,-0.013046373313214583,44.70103143018163,40.06524868286798
2024-03-01,ETH,3433.54,412770.0,0.02785754686504939,34.77550602355793,38.030501922911
2024-03-02,ETH,3420.67,284060.0,-0.0037553606105379623,39.75244669129321,38.485189896079255
