Date,Price,Open,High,Low,Vol.,Change %
08/29/2024,59381.0,59012.2,61139.0,58750.3,27.02K,0.62%
08/28/2024,59012.9,59415.0,60204.0,57918.8,36.88K,-0.78%
08/27/2024,59479.0,62820.0,63192.0,58260.4,35.12K,-5.36%
08/26/2024,62845.0,64261.0,64466.7,62838.0,19.52K,-2.15%
08/25/2024,64228.0,64160.4,64914.2,63787.5,12.28K,0.11%
08/24/2024,64157.2,64037.2,64444.0,63600.0,15.86K,0.14%
08/23/2024,64070.0,60381.8,64845.7,60354.0,38.11K,6.13%
08/22/2024,60370.0,61176.4,61394.0,59794.0,21.24K,-1.29%
08/21/2024,61156.0,59002.4,61798.2,58840.0,27.98K,3.67%
08/20/2024,58992.8,59463.3,61371.3,58588.0,31.48K,-0.81%
08/19/2024,59476.0,58426.0,59606.0,57884.0,22.80K,1.75%
08/18/2024,58454.0,59497.0,60204.0,58434.5,13.61K,-1.73%
08/17/2024,59485.0,58902.9,59654.0,58822.3,7.72K,1.04%
08/16/2024,58870.8,57497.9,59811.5,57124.9,27.62K,2.30%
08/15/2024,57547.7,58708.0,59831.6,56261.2,37.69K,-1.99%
08/14/2024,58716.0,60582.2,61518.0,58488.3,28.42K,-3.09%
08/13/2024,60587.9,59334.9,61525.2,58482.0,27.86K,2.09%
08/12/2024,59348.0,58718.4,60552.9,57690.6,37.01K,1.08%
08/11/2024,58712.6,60926.9,61698.0,58383.5,19.19K,-3.63%
08/10/2024,60923.5,60838.0,61253.0,60262.1,10.00K,0.12%
08/09/2024,60852.5,61664.0,61691.6,59545.4,30.99K,-1.35%
08/08/2024,61688.0,55082.2,62610.0,54808.0,48.35K,11.92%
08/07/2024,55118.3,56040.0,57656.0,54596.0,44.27K,-1.67%
08/06/2024,56052.3,54016.1,57022.0,53993.9,55.89K,3.86%
08/05/2024,53968.0,58190.0,58295.0,49551.0,162.05K,-7.19%
08/04/2024,58148.0,60682.0,61092.0,57367.1,31.66K,-4.21%
08/03/2024,60705.3,61441.9,62193.7,59904.0,27.96K,-1.29%
08/02/2024,61500.0,65390.0,65576.3,61233.3,38.83K,-5.90%
08/01/2024,65354.0,64610.0,65610.0,62313.6,35.54K,1.12%
07/31/2024,64628.0,66176.0,66828.0,64544.0,22.62K,-2.36%
07/30/2024,66188.0,66805.4,67000.0,65330.9,23.14K,-0.92%
07/29/2024,66800.0,68263.0,69992.6,66550.1,36.46K,-2.13%
07/28/2024,68255.6,67788.0,68296.0,67070.3,10.87K,0.54%
07/27/2024,67888.5,67946.0,69386.0,66764.0,31.71K,-0.02%
07/26/2024,67902.0,65830.1,68200.0,65770.0,24.24K,3.19%
07/25/2024,65799.9,65384.0,66084.0,63512.0,35.13K,0.67%
07/24/2024,65359.8,65950.0,67056.0,65153.5,23.08K,-0.87%
07/23/2024,65934.0,67546.0,67751.0,65527.3,31.41K,-2.37%
07/22/2024,67532.0,68214.0,68466.0,66606.0,21.45K,-0.91%
07/21/2024,68150.0,67181.0,68363.2,65844.0,21.82K,1.50%
07/20/2024,67141.6,66699.8,67577.2,66246.2,14.38K,0.71%
07/19/2024,66666.0,63952.0,67365.5,63340.1,35.63K,4.20%
07/18/2024,63980.0,64104.0,65107.0,63250.0,22.59K,-0.17%
07/17/2024,64088.0,65068.0,66056.8,63891.0,29.57K,-1.46%
07/16/2024,65038.0,64776.0,65312.0,62400.0,42.54K,0.48%
07/15/2024,64727.0,60795.8,64853.2,60676.8,38.69K,6.48%
07/14/2024,60786.4,59200.7,61276.4,59200.7,21.18K,2.68%
07/13/2024,59200.0,57889.1,59842.0,57763.2,15.36K,2.26%
07/12/2024,57889.1,57369.0,58516.0,56570.0,23.65K,0.97%
07/11/2024,57331.3,57674.3,59420.0,57094.0,29.77K,-0.73%
07/10/2024,57753.9,58036.1,59414.0,57188.4,24.95K,-0.48%
07/09/2024,58035.0,56690.0,58228.0,56306.0,27.71K,2.31%
07/08/2024,56724.9,55846.2,58126.9,54316.0,48.09K,1.55%
07/07/2024,55858.0,58230.1,58392.6,55731.1,19.12K,-4.15%
07/06/2024,58276.8,56599.9,58458.0,56018.6,21.65K,2.89%
07/05/2024,56640.5,57023.1,57514.0,53886.0,81.35K,-0.68%
07/04/2024,57026.8,60240.0,60475.9,56808.0,54.54K,-5.28%
07/03/2024,60208.6,62135.5,62285.9,59481.4,32.16K,-3.09%
07/02/2024,62128.0,62918.0,63264.2,61816.3,18.58K,-1.24%
07/01/2024,62906.0,62783.1,63850.1,62588.0,24.55K,0.23%
06/30/2024,62762.3,60986.7,63014.2,60712.2,17.32K,2.91%
06/29/2024,60986.7,60450.0,61217.3,60397.5,11.51K,0.92%
06/28/2024,60427.8,61693.9,62192.2,60128.0,24.86K,-2.07%
06/27/2024,61706.5,60865.0,62366.5,60648.2,18.34K,1.40%
06/26/2024,60854.0,61805.3,62477.0,60717.7,22.48K,-1.57%
06/25/2024,61824.0,60278.3,62241.0,60268.2,31.20K,2.53%
06/24/2024,60299.6,63178.0,63369.8,58562.9,52.16K,-4.59%
06/23/2024,63202.0,64262.0,64521.0,63202.0,8.22K,-1.65%
