Date,Price,Open,High,Low,Vol.,Change %
11/07/2021,4611.73,4516.46,4634.35,4502.38,243.69K,2.09%
11/06/2021,4517.27,4473.03,4526.66,4330.83,322.09K,0.95%
11/05/2021,4474.98,4533.16,4569.43,4439.00,305.64K,-1.34%
11/04/2021,4535.53,4603.78,4604.98,4421.72,368.26K,-1.45%
11/03/2021,4602.42,4589.26,4661.14,4459.50,448.68K,0.36%
11/02/2021,4585.74,4318.80,4598.12,4287.86,468.16K,6.13%
11/01/2021,4320.91,4288.93,4377.37,4158.07,417.62K,0.78%
10/31/2021,4287.60,4327.99,4393.48,4170.48,413.75K,-0.79%
10/30/2021,4321.56,4420.46,4427.46,4250.84,340.24K,-2.09%
10/29/2021,4413.79,4286.51,4459.04,4268.25,559.06K,3.02%
10/28/2021,4284.51,3923.58,4289.44,3895.91,626.56K,9.25%
10/27/2021,3921.72,4130.52,4300.31,3914.22,704.44K,-5.04%
10/26/2021,4129.69,4225.63,4292.35,4098.35,414.49K,-2.15%
10/25/2021,4220.35,4084.10,4235.25,4069.92,347.43K,3.36%
10/24/2021,4083.18,4171.99,4183.98,3965.55,350.13K,-2.05%
10/23/2021,4168.78,3971.49,4168.78,3938.36,326.59K,4.98%
10/22/2021,3970.90,4053.34,4163.97,3896.17,463.25K,-2.05%
10/21/2021,4054.15,4161.79,4365.70,4028.35,798.63K,-2.55%
10/20/2021,4160.21,3882.65,4168.40,3830.31,537.35K,7.31%
10/19/2021,3876.71,3745.28,3884.23,3733.81,341.28K,3.44%
10/18/2021,3747.62,3849.34,3892.36,3685.35,401.93K,-2.52%
10/17/2021,3844.63,3829.47,3917.62,3666.11,368.80K,0.43%
10/16/2021,3828.25,3872.68,3967.73,3804.46,373.76K,-1.05%
10/15/2021,3868.99,3790.95,3906.54,3735.10,504.33K,2.08%
10/14/2021,3790.18,3609.00,3819.81,3588.20,481.88K,5.07%
10/13/2021,3607.21,3490.76,3611.83,3415.45,393.40K,3.39%
10/12/2021,3489.00,3541.35,3544.88,3404.64,409.44K,-1.58%
10/11/2021,3545.08,3413.29,3622.89,3382.58,493.49K,3.82%
10/10/2021,3414.72,3573.89,3599.23,3409.25,580.26K,-4.46%
10/09/2021,3574.23,3564.99,3630.33,3542.00,361.87K,0.42%
10/08/2021,3559.24,3586.69,3668.14,3537.94,403.54K,-0.77%
10/07/2021,3586.93,3575.39,3649.64,3473.54,486.11K,0.32%
